date,Open,High,Low,Close,Adj Close,Volume,P_mean,P_sum,twt_count
1/2/2018,196.100006,201.649994,195.419998,201.070007,201.070007,10966900,0.020833333,10,480
1/3/2018,202.050003,206.210007,201.5,205.050003,205.050003,8591400,0.071216617,24,337
1/4/2018,206.199997,207.050003,204,205.630005,205.630005,6029600,-0.018518519,-4,216
1/5/2018,207.25,210.020004,205.589996,209.990005,209.990005,7033200,-0.019736842,-6,304
1/8/2018,210.020004,212.5,208.440002,212.050003,212.050003,5580200,-0.007662835,-2,261
1/9/2018,212.110001,212.979996,208.589996,209.309998,209.309998,6125900,-0.025210084,-6,238
1/10/2018,207.570007,213.639999,206.910004,212.520004,212.520004,5951500,-0.026119403,-7,268
1/11/2018,214.289993,217.75,213.350006,217.240005,217.240005,7659500,0,0,370
1/12/2018,217.179993,222.550003,216,221.229996,221.229996,8199400,-0.003125,-1,320
1/16/2018,224.240005,226.070007,217.199997,221.529999,221.529999,13516100,0.009677419,3,310
1/17/2018,221,221.149994,216.320007,217.5,217.5,9123100,0.003257329,1,307
1/18/2018,220.339996,220.580002,216.550003,220.330002,220.330002,8225300,-0.04040404,-12,297
1/19/2018,222.75,223.490005,218.5,220.460007,220.460007,10548600,-0.070121951,-23,328
1/22/2018,222,227.789993,221.199997,227.580002,227.580002,17703300,-0.042660882,-59,1383
1/23/2018,255.050003,257.709991,248.020004,250.289993,250.289993,27705300,-0.061196106,-88,1438
1/24/2018,250.880005,261.709991,249.309998,261.299988,261.299988,17352400,-0.084525358,-65,769
1/25/2018,263,272.299988,260.230011,269.700012,269.700012,15336400,-0.122743682,-102,831
1/26/2018,271.48999,274.600006,268.76001,274.600006,274.600006,11021800,-0.118012422,-57,483
1/29/2018,274.200012,286.809998,273.920013,284.589996,284.589996,17529700,-0.100689655,-73,725
1/30/2018,277,282.730011,272.700012,278.799988,278.799988,12482900,-0.141269841,-89,630
1/31/2018,281.940002,282.290009,269.579987,270.299988,270.299988,11695100,-0.167449139,-107,639
2/1/2018,266.410004,271.950012,263.380005,265.070007,265.070007,9669000,-0.15625,-55,352
2/2/2018,263,270.619995,262.709991,267.429993,267.429993,9123600,-0.040462428,-14,346
2/5/2018,262,267.899994,250.029999,254.259995,254.259995,11896100,-0.033112583,-10,302
2/6/2018,247.699997,266.700012,245,265.720001,265.720001,12595800,-0.037151703,-12,323
2/7/2018,266.579987,272.450012,264.329987,264.559998,264.559998,8981500,-0.087412587,-25,286
2/8/2018,267.079987,267.619995,250,250.100006,250.100006,9306700,-0.106060606,-28,264
2/9/2018,253.850006,255.800003,236.110001,249.470001,249.470001,16906900,-0.01875,-6,320
2/12/2018,252.139999,259.149994,249,257.950012,257.950012,8534900,0.013468013,4,297
2/13/2018,257.290009,261.410004,254.699997,258.269989,258.269989,6855200,-0.027491409,-8,291
2/14/2018,260.470001,269.880005,260.329987,266,266,10972000,-0.034090909,-15,440
2/15/2018,270.029999,280.5,267.630005,280.269989,280.269989,10759700,-0.017817372,-8,449
2/16/2018,278.730011,281.959991,275.690002,278.519989,278.519989,8312400,-0.069069069,-23,333
2/20/2018,277.73999,285.809998,276.609985,278.549988,278.549988,7769000,-0.027108434,-9,332
2/21/2018,282.070007,286.640015,280.01001,281.040009,281.040009,9371100,-0.050113895,-22,439
2/22/2018,283.880005,284.5,274.450012,278.140015,278.140015,8891500,-0.08839779,-32,362
2/23/2018,281,286,277.809998,285.929993,285.929993,7301800,-0.055555556,-17,306
